sequence,mode,error,from,to,skipped,takeoffSpeed,landingSpeed,flightDistance,width,depth,headingChange,landingX,landingZ
ridge,flow,clean,m02.restore.platform,m02.safe.02,m02.safe.01,13.500,13.500,7.971,11,4,-12.84,1.039,-1.239
ridge,flow,clean,m02.safe.02,m02.safe.03,,13.500,13.500,8.212,12,4,-1.03,0.126,0.559
ridge,flow,clean,m02.safe.03,m02.garden.exit,m02.safe.04,13.500,13.500,7.978,12,7.7,9.59,0.832,-3.682
ridge,flow,clean,m02.garden.exit,m02.ridge.01,,13.500,13.500,8.180,12,5,17.56,-0.450,-2.396
ridge,flow,clean,m02.ridge.01,m02.ridge.02,,13.500,13.500,8.206,12,4,8.00,-0.683,-0.268
ridge,flow,clean,m02.ridge.02,m02.rejoin,,13.500,13.500,8.210,20,12,-4.60,-0.718,-2.181
ridge,flow,left,m02.restore.platform,m02.safe.02,m02.safe.01,13.500,13.500,7.971,11,4,-12.84,0.289,-1.239
ridge,flow,left,m02.safe.02,m02.safe.03,,13.500,13.500,8.212,12,4,2.02,-0.314,0.668
ridge,flow,left,m02.safe.03,m02.garden.exit,m02.safe.04,13.500,13.500,7.980,12,7.7,8.35,0.731,-3.479
ridge,flow,left,m02.garden.exit,m02.ridge.01,,13.500,13.500,8.184,12,5,16.32,-0.387,-2.184
ridge,flow,left,m02.ridge.01,m02.ridge.02,,13.500,13.500,8.207,12,4,7.29,-0.600,-0.059
ridge,flow,left,m02.ridge.02,m02.rejoin,,13.500,13.500,8.210,20,12,-4.82,-0.673,-1.964
ridge,flow,right,m02.restore.platform,m02.safe.02,m02.safe.01,13.500,13.500,7.971,11,4,-12.84,1.789,-1.239
ridge,flow,right,m02.safe.02,m02.safe.03,,13.500,13.500,8.210,12,4,-3.99,0.586,0.442
ridge,flow,right,m02.safe.03,m02.safe.04,,13.500,13.500,7.976,12,4,10.62,-0.045,2.091
ridge,flow,right,m02.safe.04,m02.ridge.01,m02.garden.exit,13.500,13.500,8.175,12,5,18.79,-0.509,-2.636
ridge,flow,right,m02.ridge.01,m02.ridge.02,,13.500,13.500,8.205,12,4,8.81,-0.772,-0.503
ridge,flow,right,m02.ridge.02,m02.rejoin,,13.500,13.500,8.210,20,12,-4.33,-0.770,-2.425
ridge,flow,early,m02.restore.platform,m02.safe.02,m02.safe.01,13.500,13.500,7.972,11,4,-12.39,1.088,-1.576
ridge,flow,early,m02.safe.02,m02.safe.03,,13.500,13.500,8.212,12,4,-1.41,0.218,0.238
ridge,flow,early,m02.safe.03,m02.safe.04,,13.500,13.500,7.980,12,4,8.94,-0.106,1.989
ridge,flow,early,m02.safe.04,m02.ridge.01,m02.garden.exit,13.500,13.500,8.180,12,5,17.45,-0.485,-2.728
ridge,flow,early,m02.ridge.01,m02.ridge.02,,13.500,13.500,8.093,12,4,8.59,-0.795,-0.699
ridge,flow,early,m02.ridge.02,m02.rejoin,,13.500,13.500,8.210,20,12,-4.01,-0.799,-2.619
ridge,flow,late,m02.restore.platform,m02.safe.02,m02.safe.01,13.500,13.500,7.970,11,4,-13.04,1.019,-1.095
